epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,28521.3,0.26931,0.10515,0.80695,0.99822,0.99686,0.99495,0.98575,0.24171,0.091,0.77756,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,28872,0.26308,0.10336,0.80543,0.99838,0.99773,0.99495,0.98575,0.24173,0.09087,0.77744,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,29223.1,0.26315,0.10217,0.80346,0.99825,0.99758,0.99496,0.98595,0.24175,0.09038,0.77736,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,29574,0.26374,0.10149,0.80493,0.99808,0.99669,0.99495,0.98606,0.24172,0.09046,0.77724,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,29924.6,0.26179,0.10162,0.80355,0.99859,0.99721,0.99492,0.98595,0.24194,0.08898,0.7773,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,30274.9,0.25765,0.10047,0.80441,0.99721,0.99714,0.99495,0.98582,0.2418,0.08842,0.77721,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,30625.2,0.25751,0.10029,0.80432,0.99669,0.99747,0.99499,0.98562,0.24168,0.09191,0.77744,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,30975.4,0.25859,0.10171,0.80438,0.99659,0.9959,0.99495,0.98553,0.24154,0.09206,0.77725,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,31325.8,0.25588,0.10136,0.80483,0.99777,0.99608,0.99495,0.98576,0.24219,0.09004,0.77748,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,31676.3,0.25196,0.09923,0.80246,0.99824,0.99599,0.99495,0.9858,0.24237,0.087,0.7774,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,32024.7,0.21377,0.07606,0.78228,0.99813,0.99616,0.99495,0.9858,0.24232,0.08632,0.77727,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,32371.6,0.21275,0.07544,0.78251,0.99813,0.99564,0.99495,0.98573,0.24191,0.0866,0.77728,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,32718.7,0.20942,0.07391,0.78239,0.99799,0.99699,0.99494,0.98582,0.24153,0.08546,0.77718,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,33065.7,0.20847,0.07224,0.7812,0.99765,0.99786,0.99494,0.98586,0.24111,0.08272,0.77713,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,33412.5,0.20627,0.07196,0.78149,0.99796,0.9973,0.99494,0.98579,0.24106,0.08318,0.777,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,33759.6,0.20722,0.07126,0.7807,0.99848,0.99695,0.99494,0.9859,0.24053,0.08251,0.7768,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,34106.1,0.20351,0.0708,0.78066,0.99764,0.99722,0.99485,0.98582,0.24078,0.08375,0.77681,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,34452.8,0.2021,0.0698,0.78115,0.99858,0.9973,0.99494,0.98595,0.24028,0.08284,0.7768,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,34799.6,0.20243,0.07057,0.77982,0.99869,0.99712,0.99494,0.98608,0.24045,0.08393,0.77674,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,35146.3,0.20055,0.06851,0.78083,0.99852,0.99716,0.99494,0.9861,0.24061,0.0836,0.77679,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
